2
2
199: 3412//2134//4321//1243//
200: 3412//2143//1234//4321//
201: 3412//2143//1324//4231//
202: 3412//2143//4231//1324//
203: 3412//2143//4321//1234//
204: 3421//1234//2143//4312//
205: 3421//1234//4312//2143//
206: 3421//1243//2134//4312//
207: 3421//1243//2314//4132//
208: 3421//1243//4132//2314//
209: 3421//1243//4312//2134//
210: 3421//2134//1243//4312//
211: 3421//2134//1342//4213//
212: 3421//2134//4213//1342//
213: 3421//2134//4312//1243//
214: 3421//2143//1234//4312//
215: 3421//2143//4312//1234//
216: 4123//2314//1432//3241//
217: 4123//2314//3241//1432//
218: 4123//2341//1234//3412//
219: 4123//2341//1432//3214//
220: 4123//2341//3214//1432//
221: 4123//2341//3412//1234//
222: 4123//3214//1342//2431//
223: 4123//3214//1432//2341//
224: 4123//3214//2341//1432//
225: 4123//3214//2431//1342//
226: 4123//3241//1432//2314//
227: 4123//3241//2314//1432//
228: 4132//2314//1243//3421//
229: 4132//2314//1423//3241//
230: 4132//2314//3241//1423//
231: 4132//2314//3421//1243//
232: 4132//2341//1423//3214//
233: 4132//2341//3214//1423//
234: 4132//3214//1423//2341//
235: 4132//3214//2341//1423//
236: 4132//3241//1324//2413//
237: 4132//3241//1423//2314//
238: 4132//3241//2314//1423//
239: 4132//3241//2413//1324//
240: 4213//1324//2431//3142//
241: 4213//1324//3142//2431//
242: 4213//1342//2134//3421//
243: 4213//1342//2431//3124//
244: 4213//1342//3124//2431//
245: 4213//1342//3421//2134//
246: 4213//3124//1342//2431//
247: 4213//3124//1432//2341//
248: 4213//3124//2341//1432//
249: 4213//3124//2431//1342//
250: 4213//3142//1324//2431//
251: 4213//3142//2431//1324//
252: 4231//1324//2143//3412//
253: 4231//1324//2413//3142//
254: 4231//1324//3142//2413//
255: 4231//1324//3412//2143//
256: 4231//1342//2413//3124//
257: 4231//1342//3124//2413//
258: 4231//3124//1342//2413//
259: 4231//3124//2413//1342//
260: 4231//3142//1324//2413//
261: 4231//3142//1423//2314//
262: 4231//3142//2314//1423//
263: 4231//3142//2413//1324//
264: 4312//1234//2143//3421//
265: 4312//1234//3421//2143//
266: 4312//1243//2134//3421//
267: 4312//1243//2431//3124//
268: 4312//1243//3124//2431//
269: 4312//1243//3421//2134//
270: 4312//2134//1243//3421//
271: 4312//2134//1423//3241//
272: 4312//2134//3241//1423//
273: 4312//2134//3421//1243//
274: 4312//2143//1234//3421//
275: 4312//2143//3421//1234//
276: 4321//1234//2143//3412//
277: 4321//1234//2413//3142//
278: 4321//1234//3142//2413//
279: 4321//1234//3412//2143//
280: 4321//1243//2134//3412//
281: 4321//1243//3412//2134//
282: 4321//2134//1243//3412//
283: 4321//2134//3412//1243//
284: 4321//2143//1234//3412//
285: 4321//2143//1432//3214//
286: 4321//2143//3214//1432//
287: 4321//2143//3412//1234//
